	360	360手机卫士	360手机卫士	com.qihoo360.mobilesafe	/360
	360	360手机助手	360手机助手	com.qihoo.appstore	/.dir_com.qihoo.appstore
	360	360桌面	360桌面	com.qihoo360.launcher	360launcher
		365日历	365日历	com.rili.android.client	/365riliDownload
		3D全景照相机	Photaf	obg1.PhotafPro	/Photaf
		58同城	58同城	com.wuba	/wuba
	91	91手机助手	91手机助手	com.dragon.android.pandaspace	/ndcommplatform
		AA小说下载阅读器	AA小说下载阅读器	com.aareader	/aaRead
		Adobe Photoshop Express	Adobe Photoshop Express	com.adobe.psmobile	/adobe/psmobile
		Androxplorer	Androxplorer	net.adisasta.androxplorer	/AndroXplorer
		Ankidroid	Ankidroid	com.ichi2.anki	/AnkiDroid
电子书		Anyview阅读器	Anyview阅读器	com.anyview	Anyview
电子书		Apabi Reader	Apabi Reader	com.founder.apabi.reader	ApabiReader
		Astro	Astro	com.metago.astro	/tmp/.astro/
		Beauty studio	Beauty studio	com.inmd.beautystudio	/Beauty Studio
相片		Camera360	Camera360	vStudio.Android.Camera360	/Camera360
		Canimals Diary	Canimals Diary	com.voozoo.canimals	/canimalsBackup
		DatPiff Mobile	DatPiff Mobile	com.datpiff.mobile	/Music/DatPiff
		Deer Hunter	Deer Hunter	com.glu.deerhuntnew	/glu/deerchal
		Entrepreneur Mobile	Entrepreneur Mobile	com.handmark.mpp.entrep	/Handmark
		Epocrates	Epocrates	com.epocrates	/epocrates
		Espeak -TTS	Espeak -TTS	com.marvin.espeak	/espeak-data
笔记		Evernote	Evernote	com.evernote	/Evernote
		Extended Controls	Extended Controls	com.extendedcontrols	/extendedcontrols
		ezPDF Reader	ezPDF Reader	udk.android.reader	/ezPDFReader
		FBReader	FBReader	org.geometerplus.zlibrary.ui.android	/Books/.FBReader
		Felleskatalogen	Felleskatalogen	sunnsoft.felleskatalogen	/FelleskatalogenData.tmp
		Flash_Player	Flash_Player	com.adobe.flashplayer	/.adobe/Flash_Player
		FolderOrganizer	FolderOrganizer	com.abcOrganizer	/FolderOrganizer
		FreeMP3Droid	FreeMP3Droid	org.freemp3droid	/FreeMP3Droid
		gamebox	gamebox	com.leefj.gamebox	/.gamebox
电子书		ggbook	ggbook	jb.activity.mbook	/GGBook
	3G门户	GO天气EX	goweatherEX	com.gau.go.launcherex.gowidget.weatherwidget	/GOWeatherEX
	3G门户	GO桌面EX	GOLauncherEX	com.gau.go.launcherex	/GOLauncherEX
		Hyper Jump	Hyper Jump	com.camelgames.hyperjump	/.camelgames/.jump
电子书		iReader	iReader	com.chaozh.iReaderFree	iReader
		iSpend	iSpend	com.sondaica.ispend	/iSpend
		keepass	keepass	com.android.keepass	/keepass
		layar	layar	com.layar	/layar
	LBE	LBE安全大师	LBE	com.lbe.security	com.lbe.security
相片		LINE相机	LINEcamera	jp.naver.linecamera.android	LINEcamera
		MARCA	MARCA	com.iphonedroid.marca	/MARCA
		moboplayer	moboplayer	com.clov4r.android.nil	/.mobo
		Mongo Ringtone	Mongo Ringtone	mp3.multimedia.music.mongo.ringtones	/Ringtone
		musicwizard	musicwizard	com.chen.mobile.music	/musicwizard
		My cookbook	My cookbook	fr.cookbook	/Mes_Recettes
		N多市场	Ndoo Market	com.nduoa.nmarket	/nDuoaMarket
		openvpn	openvpn	de.schaeuffelhut.android.openvpn	/openvpn
		oruxmaps	oruxmaps	com.orux.oruxmaps	/oruxmaps
		Pho.to Lab	Pho.to Lab	vsin.t16_funny_photo	/Pho.to Lab
相片		picasa	picasa	larry.zou.colorfullife	/picasa_tool
		PicSay	PicSay	com.shinycore.picsaypro	/PicSay
		picsin	picsin	com.photo.picsinphoto	/Picsin
		plurQ free	plurQ free	mobi.qiss.plurq	/plurk.log
视频		PPTV网络电视	PPTV网络电视	com.pplive.androidphone	/PPTV
		pulse	pulse	com.alphonso.pulse	pulse
	腾讯	QQ for PAD	QQ for PAD	com.tencent.android.pad	/apadqq-images
	腾讯	QQ2012	QQ2012	com.tencent.mobileqq	/tencent/MobileQQ
数据包	腾讯	QQ地图	QQ地图	com.tencent.map	/QQMap
	腾讯	QQ订阅	QQ订阅	com.rss.activity	/qqrss
	腾讯	QQ输入法	QQ输入法	com.tencent.qqpinyin	/tencent/QQInput
	腾讯	QQ同步助手	QQ同步助手	com.tencent.qqpim	/.qqpim
	腾讯	QQ阳光牧场	QQ阳光牧场	com.tencent.sunnyranch	/sunnyranch
音乐	腾讯	QQ音乐	QQ音乐	com.tencent.qqmusic	/qqmusic
	腾讯	QQ游戏大厅	QQ游戏大厅	com.tencent.qqgame	/.QQGame
电子书	腾讯	QQ阅读	QQ阅读	com.qq.reader	/QQReader
	腾讯	Q拍	Q拍	com.tencent.qqphoto	/qpai
数据包	Gameloft	Real Football 2011	Real Football 2011	com.gameloft.android.TBFV.GloftR1HP.ML	/gameloft/games/realfootball2011
		Root Explorer 	Root Explorer 	com.speedsoftware.rootexplorer	/SpeedSoftware
		Scorecenter	Scorecenter	com.espn.score_center	/com.espn.score_center
		SilverEdit	SilverEdit	com.silver.edit	/SilverEdit
		soundhound	soundhound	com.melodis.midomiMusicIdentifier.freemium	/soundhound
		Tagged	Tagged	com.taggedapp	/.tagtemp
		TalkBox	TalkBox	com.gtomato.talkbox	/TalkBox
		touchTalk	touchTalk	com.pentabreed.pentatouch	/touchTalk
		Tumblr	Tumblr	com.tumblr	/Tumblr
浏览器下载	优视	UC浏览器	UC Browser	com.UCMobile	/UCDownloads
		UC迅雷	UC迅雷	uc.ucdl	/.ucdlres
	优视	UC影音	UC影音	uc.ucplayer	/ucplayer
电子书		Viva畅读	Viva	viva.reader	/viva2
		xScope	xScope	sui.mRelease	/xScope
		Yahoo mail	Yahoo mail	com.yahoo.mobile.client.android.mail	/Yahoo!/YMail
		Yahoo Messenger	Yahoo Messenger	com.yahoo.mobile.client.android.im	/Yahoo!/Messenger
		YiBo微博客户端	YiBo	net.dev123.yibo	/.yibo
		ZAKER	ZAKER	com.myzaker.ZAKER_Phone	ZAKER
数据包	Gameloft	阿凡达	Avatar	com.gameloft.android.GAND.GloftAVHP	/gameloft/games/Avatar
		爱酷天气	icmweather	com.icoolme.android.weather	/.icmweather
		爱米软件市场	爱米软件市场	com.aimi.appstore	/.aimi
		安智市场	GoMarket	cn.goapk.market	/gomarket
		傲游浏览器	Maxthon Browser	com.mx.browser	/MxBrowser
		奥秘传说	Legends Arcana	com.littlekillerz.legendsarcana	/legendsarcana
相片	百度	百度壁纸	百度壁纸	com.baidu.wallpaper	baidu_wallpaper
数据包	百度	百度地图	百度地图	com.baidu.BaiduMap	BaiduMap
相片	百度	百度魔图	PhotoWonder	cn.jingling.motu.photowonder	/photowonder
	百度	百度身边	百度身边	com.baidu.shenbian	BaiduShenBian
	百度	百度输入法	百度输入法	com.baidu.input	/baidu/ime
浏览器下载	百度	百度搜索	百度搜索	com.baidu.searchbox	baidu/SearchBox/downloads
音乐	百度	百度音乐	百度音乐	com.ting.mp3.android	Baidu_music
